
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
OR                               OR3                               23   1      3   3   1 3           3 0 C3                  (2-54-13)
OR                               OR3                               23   1      4   4   1 4           4 0                     (0-0-0)
OR                               OR3                               23   1      5   5   1 5           5 0                     (0-0-0)
OR                               OR3                               23   1      6   6   1 6           6 0                     (0-0-0)
OR                               OR3                               23   1      7   7   1 13         13 0                     (0-0-0)
OR                               OR3                               23   1      8   8   1 12         12 0                     (0-0-0)
OR                               OR3                               23   1      9   9   1 11         11 0                     (0-0-0)
OR                               OR3                               23   1     10  10   1 10         10 0                     (0-0-0)
OR                               OR3                               23   1     11  11   1 9           9 0                     (0-0-0)
OR                               OR3                               23   1     12  12   1 8           8 0                     (0-0-0)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
OR                               OR3                                0   2      1   1   2 14         14 1 VCC                 (0-0-0)
OR                               OR3                                0   3      1   1   3 7           7 1 GND                 (0-0-0)
OR                               OR4                               18   1      1   1   1 1           1 0 3_12                (2-68-13)
OR                               OR4                               18   1      2   2   1 2           2 0 3_13                (2-69-13)
OR                               OR4                               18   1      3   3   1 3           3 0 C4                  (2-55-13)
OR                               OR4                               18   1      4   4   1 4           4 0                     (0-0-0)
OR                               OR4                               18   1      5   5   1 5           5 0                     (0-0-0)
OR                               OR4                               18   1      6   6   1 6           6 0                     (0-0-0)
OR                               OR4                               18   1      7   7   1 13         13 0                     (0-0-0)
OR                               OR4                               18   1      8   8   1 12         12 0                     (0-0-0)
OR                               OR4                               18   1      9   9   1 11         11 0                     (0-0-0)
OR                               OR4                               18   1     10  10   1 10         10 0                     (0-0-0)
OR                               OR4                               18   1     11  11   1 9           9 0                     (0-0-0)
OR                               OR4                               18   1     12  12   1 8           8 0                     (0-0-0)
OR                               OR4                                0   2      1   1   2 14         14 1 VCC                 (0-0-0)
OR                               OR4                                0   3      1   1   3 7           7 1 GND                 (0-0-0)
OR                               OR5                               17   1      1   1   1 1           1 0 4_12                (2-71-13)
OR                               OR5                               17   1      2   2   1 2           2 0 4_13                (2-72-13)
OR                               OR5                               17   1      3   3   1 3           3 0 C5                  (2-56-13)
OR                               OR5                               17   1      4   4   1 4           4 0                     (0-0-0)
OR                               OR5                               17   1      5   5   1 5           5 0                     (0-0-0)
OR                               OR5                               17   1      6   6   1 6           6 0                     (0-0-0)
OR                               OR5                               17   1      7   7   1 13         13 0                     (0-0-0)
OR                               OR5                               17   1      8   8   1 12         12 0                     (0-0-0)
OR                               OR5                               17   1      9   9   1 11         11 0                     (0-0-0)
OR                               OR5                               17   1     10  10   1 10         10 0                     (0-0-0)
OR                               OR5                               17   1     11  11   1 9           9 0                     (0-0-0)
OR                               OR5                               17   1     12  12   1 8           8 0                     (0-0-0)
OR                               OR5                                0   2      1   1   2 14         14 1 VCC                 (0-0-0)
OR                               OR5                                0   3      1   1   3 7           7 1 GND                 (0-0-0)
OR                               OR6                               21   1      1   1   1 1           1 0 5_12                (2-74-13)
OR                               OR6                               21   1      2   2   1 2           2 0 5_13                (2-75-13)
OR                               OR6                               21   1      3   3   1 3           3 0 C6                  (2-57-13)
OR                               OR6                               21   1      4   4   1 4           4 0                     (0-0-0)
OR                               OR6                               21   1      5   5   1 5           5 0                     (0-0-0)
OR                               OR6                               21   1      6   6   1 6           6 0                     (0-0-0)
OR                               OR6                               21   1      7   7   1 13         13 0                     (0-0-0)
OR                               OR6                               21   1      8   8   1 12         12 0                     (0-0-0)
OR                               OR6                               21   1      9   9   1 11         11 0                     (0-0-0)
OR                               OR6                               21   1     10  10   1 10         10 0                     (0-0-0)
OR                               OR6                               21   1     11  11   1 9           9 0                     (0-0-0)
OR                               OR6                               21   1     12  12   1 8           8 0                     (0-0-0)
OR                               OR6                                0   2      1   1   2 14         14 1 VCC                 (0-0-0)
OR                               OR6                                0   3      1   1   3 7           7 1 GND                 (0-0-0)
OR                               OR7                               19   1      1   1   1 1           1 0 6_12                (2-77-13)
OR                               OR7                               19   1      2   2   1 2           2 0 6_13                (2-78-13)
OR                               OR7                               19   1      3   3   1 3           3 0 C7                  (2-40-13)
OR                               OR7                               19   1      4   4   1 4           4 0                     (0-0-0)
OR                               OR7                               19   1      5   5   1 5           5 0                     (0-0-0)
OR                               OR7                               19   1      6   6   1 6           6 0                     (0-0-0)
OR                               OR7                               19   1      7   7   1 13         13 0                     (0-0-0)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
OR                               OR7                               19   1      8   8   1 12         12 0                     (0-0-0)
